                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20230513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      704                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1733939185487045E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1733939185487045E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147520091396E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9291147520091396E+000                 -4.9291147523079966E+000                 -1.4091436248647026E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498916604104834E+000                  1.6885471017495868E-001                  3.0729719513101028E-001                  3.8648659221993373E+000                  0.0000000000000000E+000                  1.4812406857795281E+001                  6.3839499612865558E-002                  6.6344467412855632E+000                  6.3672977256531804E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                       5                                      707                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147519662735E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.9291147519662735E+000                 -4.9291147522651304E+000                 -1.4091436248514700E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498853097784205E+000                  1.6882931600527687E-001                  3.0729719931029448E-001                  3.8648659138407693E+000                  0.0000000000000000E+000                  1.4812406857813805E+001                  6.3839499627476093E-002                  6.6344467412894801E+000                  6.3672977256531471E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                      10                                      707                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147518334268E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9291147518334268E+000                 -4.9291147521322829E+000                 -1.4091436248099361E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498854514522616E+000                  1.6882988387354128E-001                  3.0729719989674437E-001                  3.8648659126678693E+000                  0.0000000000000000E+000                  1.4812406857870103E+001                  6.3839499671308086E-002                  6.6344467413019466E+000                  6.3672977256530439E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                      15                                      707                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147514931790E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.9291147514931781E+000                 -4.9291147517920351E+000                 -1.4091436247031018E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498854704236616E+000                  1.6882996006706077E-001                  3.0729720005070355E-001                  3.8648659123599511E+000                  0.0000000000000000E+000                  1.4812406858013306E+001                  6.3839499782213094E-002                  6.6344467413342301E+000                  6.3672977256527807E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                      20                                      707                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.5883459332413215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147506366757E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9291147506366757E+000                 -4.9291147509355326E+000                 -1.4091436244338137E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498854797362923E+000                  1.6882999743040666E-001                  3.0729720010711598E-001                  3.8648659122471263E+000                  0.0000000000000000E+000                  1.4812406858372844E+001                  6.3839500060083557E-002                  6.6344467414158519E+000                  6.3672977256521079E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                      25                                      707                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.2088442667322248E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.2088442667322248E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147484951923E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9291147484951923E+000                 -4.9291147487940483E+000                 -1.4091436237604219E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498854838445105E+000                  1.6883001359314698E-001                  3.0729719997204996E-001                  3.8648659125172582E+000                  0.0000000000000000E+000                  1.4812406859270832E+001                  6.3839500753478898E-002                  6.6344467416203203E+000                  6.3672977256504204E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                      30                                      707                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1796922796204594E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1796922796204594E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147431567337E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9291147431567346E+000                 -4.9291147434555906E+000                 -1.4091436220820301E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498854848621280E+000                  1.6883001661239380E-001                  3.0729719944643746E-001                  3.8648659135684831E+000                  0.0000000000000000E+000                  1.4812406861508679E+001                  6.3839502480883853E-002                  6.6344467421304483E+000                  6.3672977256462071E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                      35                                      707                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1748353737014352E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1748353737014352E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291147298638798E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9291147298638807E+000                 -4.9291147301627367E+000                 -1.4091436179034623E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498854849615601E+000                  1.6883001423104360E-001                  3.0729719805689865E-001                  3.8648659163475609E+000                  0.0000000000000000E+000                  1.4812406867080462E+001                  6.3839506781177335E-002                  6.6344467434011491E+000                  6.3672977256357122E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223091E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
                                      40                                      707                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.1000000000000001E+000                  3.3339898595518896E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1737981276334509E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1737981276334509E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9291146967775301E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9291146967775301E+000                 -4.9291146970763871E+000                 -1.4091436075034387E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6498854847757638E+000                  1.6883000651679050E-001                  3.0729719457136556E-001                  3.8648659233186269E+000                  0.0000000000000000E+000                  1.4812406880948640E+001                  6.3839517483938998E-002                  6.6344467465645804E+000                  6.3672977256095842E-001                  8.3500532100629488E-001                  1.3389885073860692E+000                  6.7000000000000004E-001                  2.9996807396223091E-001                  5.1703250411792327E-003                  1.4070791467724266E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  7.3700000000000054E-001                  3.2996488135845392E-001                                        0                                        2 
